	Eigenvector_centrality	Degree_centrality	Clustering_coefficient	Betweenness_centrality
Q9UHI6,Q9H4N4	0.00560320890910604	0.002399082090330656	0.20553359683794467	0.0005368415923438924
P41162,B4E3M7	0.00014109555260565337	0.00010430791697089809	0.0	0.0
Q04724	0.012182872605025673	0.005841243350370293	0.0069881201956673656	0.0020220183286138362
P55316,P55315	0.012778395063044977	0.0015646187545634712	0.1619047619047619	0.0002504296806000337
Q6PI57,Q04726,B3KUA2	0.000663673934312337	0.0003129237509126943	0.0	1.1291704040421683e-05
Q6IT96,Q13547	0.06670962344964422	0.013560029206216751	0.047244094488188976	0.00875620076308133
Q15797	0.040583338372420105	0.01147387086679879	0.03374870197300104	0.008010733944411501
Q9UGL1,Q9UFD3	0.002278607575789298	0.0003129237509126943	0.0	2.910843801490207e-05
P01730	0.01299425423152785	0.003546469177010535	0.056451612903225805	0.0016467952192477321
P98082	0.024416093525136535	0.002503390007301554	0.06884057971014493	0.0012480030517215796
P22681	0.09634532925962794	0.009074788776468133	0.11848739495798319	0.0036831902289098896
P15498	0.06748611963135602	0.006467090852195681	0.1195134849286092	0.002417224312656781
Q4LE43,A2A284,P19174	0.09090823713647474	0.010117867946177115	0.08805841924398626	0.004102969443728839
P16471	0.014533079129214085	0.0018775425054761655	0.09166666666666666	0.0004520553333256521
P29597	0.03352294266815234	0.0031292375091269424	0.17989417989417988	0.0003373915765777105
P98153,Q8IWC8	0.00041948973788528607	0.00010430791697089809	0.0	0.0
P28482,Q499G7,Q1HBJ4	0.12346003583634467	0.01679357463231459	0.030730037417403072	0.013490749995715456
P84095,Q6ICQ8	0.008045694932933459	0.0017732345885052676	0.03676470588235294	0.00034295174394259473
P01112,Q9BR65	0.040587318431815754	0.007197246270991968	0.03154305200341006	0.003758467646972723
Q06187,Q5JY90	0.047440639534601335	0.006049859184312089	0.07077922077922078	0.003337652683200617
Q5T7S2,P36897,Q6IR47	0.04784058257753474	0.016167727130489203	0.023821809425524594	0.016347230980384972
P43405,B3KQJ1,A8K4G2	0.08236686993482878	0.007927401689788255	0.12736023694927803	0.004665546803348401
Q15464	0.02651300436363902	0.0018775425054761655	0.29411764705882354	0.00011441010421617455
Q04759	0.023954853808746852	0.0026076979242724524	0.08300395256916997	0.0005949209370764588
P42680	0.029685941569798244	0.00271200584124335	0.16666666666666666	0.0002725627802487934
P40189	0.023653785635025935	0.0029206216751851465	0.11384615384615385	0.0010477761327439298
Q6IBN1,P61978	0.027238679481291796	0.004172316678835924	0.06258890469416785	0.0017526100440384146
Q13239,Q6FI01	0.010223419844957584	0.001147387086679879	0.3055555555555556	4.410619417150916e-05
Q14289,Q6PID4	0.07307515126110731	0.007197246270991968	0.11623699683401176	0.003675543918902624
Q15910	0.00749843190464043	0.002503390007301554	0.04710144927536232	0.0013507485260683824
Q13094	0.03805096212804231	0.0030249295921560447	0.3251231527093596	0.00028318397190595394
P37173,D2JYI1,A3QNQ0	0.023440801773951	0.0039637008448941274	0.10634920634920635	0.0012358720425811797
Q15942,Q96AF9	0.005212705692034168	0.0015646187545634712	0.0380952380952381	0.0003064607672461847
P78314,B4DT04	0.024037467889326095	0.0018775425054761655	0.27450980392156865	0.0002238697858668978
O43255	0.003788054300532115	0.001356002920621675	0.01282051282051282	0.0003305037656356918
O43561,B7WPI0	0.025472550009335796	0.002503390007301554	0.2572463768115942	0.0001342175244581566
P52566	0.006812675942942736	0.0008344633357671847	0.25	2.8097833217097147e-05
O15524,Q4JHT5	0.041161213807104594	0.003755085010952331	0.1619047619047619	0.0011367943341948573
Q16853	0.0016981378080601712	0.00010430791697089809	0.0	0.0
P51956	0.002504063421933775	0.0003129237509126943	0.6666666666666666	6.008384638231731e-08
Q13191,B3KSS7,A8K9S7	0.03180056545510768	0.00271200584124335	0.16615384615384615	0.00034013363840564357
Q8WV28	0.021642885790664316	0.0018775425054761655	0.3202614379084967	4.10853298181302e-05
P52735	0.017496129136575958	0.0016689266715343694	0.16483516483516483	9.390465261367842e-05
Q9H0H5,B2RE34	0.0084353380937184	0.002294774173359758	0.03684210526315789	0.000941950074973274
Q9NWQ8	0.03130009017429278	0.0017732345885052676	0.4117647058823529	0.00014662633540565335
Q5XG91,Q92608	0.005026353930833848	0.0005215395848544905	0.1	6.1852337203748155e-06
Q15018	0.00041948973788528607	0.00010430791697089809	0.0	0.0
Q9H3P7	0.00046600645978073446	0.00020861583394179617	0.0	4.805899173579351e-06
P07947	0.020840313307234636	0.0031292375091269424	0.03439153439153439	0.00019526101009871905
P16284	0.03306256887678609	0.002503390007301554	0.1774891774891775	0.000363912644313302
P16671,A4D1B1	0.012317752050453153	0.001356002920621675	0.1282051282051282	0.00012780936445547385
P27635	0.002773587773919968	0.0003129237509126943	0.0	3.58500008175065e-05
Q04912	0.033483591315462996	0.0021904662563888596	0.1871345029239766	0.00046436697987309626
Q15303	0.022777948457374464	0.0031292375091269424	0.12433862433862433	0.0009504424206986629
Q06418	0.01100157996518381	0.0006258475018253885	0.13333333333333333	0.00022752902450285726
O43184,A8K6G4	0.012838351622461948	0.001147387086679879	0.07272727272727272	0.000124226867656291
O60500	0.012969124091801528	0.001356002920621675	0.09090909090909091	0.00030068172258703677
Q16625	0.010909626961183359	0.0018775425054761655	0.058333333333333334	0.0005022984834275185
Q9Y5K6	0.023451497189423947	0.0021904662563888596	0.16374269005847952	0.0005447462020388262
Q9HBA0	0.01582214932221007	0.0015646187545634712	0.038461538461538464	0.0003391211748735011
Q15428,Q05DF2	0.0005971189880551135	0.00041723166788359235	0.0	0.00020454917798250582
Q9HCN6	0.006428409750435501	0.0007301554187962866	0.23809523809523808	2.2533644008604565e-05
B4DG66,Q13625	0.01435925504509458	0.002399082090330656	0.03162055335968379	0.0010037401176895772
Q13009	0.01874535322434786	0.002294774173359758	0.07894736842105263	0.0005742034489499076
P08047	0.0777709126895943	0.009387712527380828	0.08098223615464994	0.0055973927588136635
Q04864	0.015087256882806786	0.002294774173359758	0.21052631578947367	0.0002572196220129345
P32519,Q6MZZ4,B4E2I5	0.00638220547335893	0.0007301554187962866	0.23809523809523808	0.00015761417781927828
O15254	0.00041948973788528607	0.00010430791697089809	0.0	0.0
Q6ZNA4	0.004206200094310104	0.0005215395848544905	0.6	3.7855262613589458e-06
A3F769,O15226	0.004170549288384513	0.00041723166788359235	1.0	0.0
P20226	0.04556912691375909	0.008970480859497235	0.051061388410786	0.004923950428556651
Q8IV31	0.00041948973788528607	0.00010430791697089809	0.0	0.0
Q13571,Q5TBB8	0.002622959661245152	0.002086158339417962	0.010526315789473684	0.0004064010793255396
P45983,A1L4K2	0.057403400315125	0.007301554187962866	0.06749482401656315	0.002826892784320318
P08621	0.011544115460614315	0.0026076979242724524	0.09333333333333334	0.0009800748241560523
Q13316	0.00044715253727841244	0.00020861583394179617	0.0	6.5621637443967e-06
P60510	0.006239789168534585	0.0015646187545634712	0.047619047619047616	0.000731351423588752
O75694	0.0003796327823031678	0.00020861583394179617	0.0	0.00040030040157786344
O95405	0.015068504827158023	0.003546469177010535	0.0338680926916221	0.0030137865740704275
Q8NBJ7	0.000574371276381099	0.00020861583394179617	0.0	3.248568156670051e-06
P15036	0.019910758310853715	0.0018775425054761655	0.18333333333333332	0.00035744907635902004
O15105	0.021221436368552764	0.004693856263690414	0.044296788482835	0.001985183809686142
Q9UII5,Q8WVL4	0.0007711703253806749	0.00020861583394179617	0.0	1.4651012658487456e-06
Q8NCP5	0.0019756459293766926	0.0003129237509126943	0.6666666666666666	6.487858662405722e-07
Q9UNY4	0.003987738186469053	0.0017732345885052676	0.007352941176470588	0.00032375482563397703
P11142,B3KTV0	0.024148416322583157	0.0054240116824867	0.030204081632653063	0.0043767890036975655
P15172	0.03863914002772887	0.004798164180661312	0.09302325581395349	0.0019380189347550693
Q00403	0.027223346647907164	0.0038593929279232293	0.12605042016806722	0.0009067089774231906
Q92888	0.0032303040310587222	0.0006258475018253885	0.0	1.671163892791716e-05
P35711	0.0018774358742816935	0.0006258475018253885	0.16666666666666666	1.5707924357533903e-05
Q9NR48	0.0005343065919580411	0.00010430791697089809	0.0	0.0
O95625,Q59H97	0.0005343065919580411	0.00010430791697089809	0.0	0.0
Q96HY3,P62158,B4DJ51	0.043102814320050156	0.01199541045165328	0.009323640960809102	0.012200497711660102
Q9UN79	0.0005481078424508868	0.0003129237509126943	0.0	0.0
P10721,Q6IQ28	0.06539379984401762	0.005841243350370293	0.1418588399720475	0.0013905290247974173
P07948,Q6NUK7	0.08324346059021291	0.0108480233649734	0.0502814987381091	0.005699514186981547
P27986	0.12628387699663235	0.013560029206216751	0.07221948818897637	0.00959321984255907
Q06124	0.10585609701510063	0.011265255032856993	0.09415022499134648	0.004121640735619638
Q9UHV8,C5HZ15	0.0012080187595703976	0.0005215395848544905	0.3333333333333333	6.8096796478778325e-06
P29350,Q9UK67,Q53XS4	0.09449574821532188	0.010117867946177115	0.08868980963045912	0.005977754759916246
P17252,B5BU22,Q7Z727	0.08815809431676304	0.018149577552936266	0.016455868353053175	0.023683311199606143
P21583	0.0032994484087430576	0.001043079169708981	0.03571428571428571	0.00024341750410180425
P12931	0.16958237104136542	0.021904662563888597	0.03804347826086957	0.022481480518150736
P42679,B3KNZ9,Q9NST8	0.014559342055305494	0.0009387712527380828	0.3055555555555556	8.121649824187151e-05
P42224	0.07930362796442195	0.008136017523730051	0.08385964912280702	0.00501970311311835
Q9UBT5,Q9UBF0,Q16827	0.0019448903808966845	0.0003129237509126943	0.0	5.816039076514165e-06
Q13322	0.03469706894373621	0.002503390007301554	0.15579710144927536	0.0006810796391364924
P08637	0.009531507728112861	0.001251695003650777	0.22727272727272727	0.00018647208084705233
P28907	0.0041684224837143435	0.0005215395848544905	0.4	5.763261070519856e-06
P46109	0.05528114330322633	0.005006780014603108	0.1702127659574468	0.00044564864027707765
Q99704	0.04082674835329891	0.0032335454260978406	0.1870967741935484	0.00022644068862405012
Q13588	0.018663506571184683	0.001147387086679879	0.41818181818181815	5.479687922853728e-06
O75791,Q6FI14	0.019063265667864045	0.0029206216751851465	0.03968253968253968	0.0010956757841072444
Q9UQQ2,Q59H48	0.010844409022136304	0.0008344633357671847	0.4666666666666667	1.633031986905615e-05
P60033	0.007415618814219927	0.0017732345885052676	0.047619047619047616	0.000707120045834415
Q4LE30,O75970	0.0031009774199136065	0.0014603108375925732	0.015151515151515152	0.00015079981705890493
Q7Z699	0.00234429482245924	0.00020861583394179617	0.0	4.759896851738619e-06
P06239	0.10345121399181442	0.011056639198915197	0.07393577296489919	0.004904146808309973
Q9ULZ2	0.004244544834155208	0.00041723166788359235	0.16666666666666666	3.986376500334584e-05
O14492	0.031651432393742886	0.0019818504224470637	0.2807017543859649	0.0002603958983821992
Q7Z698,B3KPL5	0.002207885251324168	0.00020861583394179617	0.0	8.844163025553273e-07
P78453,P09769	0.01889922861199637	0.0019818504224470637	0.1323529411764706	0.00034647891802434534
P42768	0.03519174950710562	0.004068008761865026	0.09309309309309309	0.0011592717739784093
P25063	0.002597031374259929	0.0003129237509126943	0.0	7.0564379903620726e-06
Q658W2,Q05397,Q8IYN9	0.081648476949516	0.008970480859497235	0.0840504876649455	0.0055936063614654315
Q8TDP5,P51677,Q8TDP6	0.0020588398827159687	0.002086158339417962	0.006535947712418301	0.0007236686346427558
P14317	0.011295776688190432	0.0014603108375925732	0.10989010989010989	0.0005604433223291522
Q13291,Q5W172	0.006600682621421465	0.0007301554187962866	0.2	0.00014543106508163521
Q92835,O00145	0.032475668336064085	0.0030249295921560447	0.23076923076923078	8.553004388105716e-05
Q6IB29,Q99848	3.452858123552512e-05	0.00010430791697089809	0.0	0.0
P11487	0.0013721892886238078	0.0006258475018253885	0.0	0.00020855546072807263
Q9NR61	0.0008346427741996034	0.00020861583394179617	0.0	1.74720272180532e-07
Q99466	0.008803521261659803	0.001356002920621675	0.09090909090909091	0.00014399259743530916
Q92585	0.007613161980315145	0.001043079169708981	0.21428571428571427	4.094213345598549e-05
Q969H0	0.007743472318658676	0.0019818504224470637	0.029239766081871343	0.0009722262242357373
P01308	0.00623190274553224	0.0018775425054761655	0.025	0.0007069528418735867
P48745	0.00206730987225382	0.001147387086679879	0.03636363636363636	0.0001821110801543112
P46531	0.024347908886628203	0.00490247209763221	0.03838383838383838	0.003175659737408565
O00548	0.0017761512774059054	0.001251695003650777	0.15555555555555556	0.00023998825471050446
P26447	0.006705617606450927	0.0021904662563888596	0.03508771929824561	0.0012654353431043553
O95644,B5B2M9,B5B2M8	0.008409706487366244	0.0007301554187962866	0.047619047619047616	7.136759067962947e-05
P11309	0.005088757237515762	0.0014603108375925732	0.03296703296703297	0.00016584194751836546
Q7KZF4	0.005467083463022654	0.0009387712527380828	0.1388888888888889	2.3882274887765378e-05
A4D177,Q13185	0.0019040590682660526	0.0017732345885052676	0.17142857142857143	0.00013074365547613773
P83916,Q6IBN6	0.003259510784505682	0.002086158339417962	0.16993464052287582	0.00029525552611948464
Q9H9Q4	0.0001750642257932215	0.00041723166788359235	1.0	0.0
Q13467	9.461363462476506e-05	0.0005215395848544905	0.1	6.294911739118972e-05
P41221	2.8163164084932793e-05	0.0003129237509126943	0.3333333333333333	1.6995909960873418e-06
P02748	0.0002853742684963801	0.0003129237509126943	0.3333333333333333	1.3798408390920884e-05
P13987,Q6FHM9	0.0068517888703217705	0.001043079169708981	0.022222222222222223	0.0009081412009891177
Q01974	8.651731909609095e-05	0.00041723166788359235	0.16666666666666666	3.902523454474204e-05
Q9UP38	0.0009380524629872126	0.0006258475018253885	0.26666666666666666	0.00039563328058163133
P08922	0.005483678274800128	0.00041723166788359235	0.16666666666666666	1.8750784412248414e-05
Q59FK4,P00519	0.09940401068991266	0.01147387086679879	0.057459328487365874	0.011440666229913823
Q9UKW4,O60498,B4E232	0.022729095825812968	0.0014603108375925732	0.23076923076923078	6.893714480498673e-05
P50395,Q5SX88,Q6IAT1	0.0005140255861795029	0.0006258475018253885	0.0	3.456844821647727e-05
P61006	0.001037702111764116	0.0014603108375925732	0.01098901098901099	0.00026574407895687234
Q96CV9	0.002426546170206825	0.0009387712527380828	0.0	0.0002586373091411276
Q12851	0.0010010242254108706	0.0003129237509126943	0.0	1.5703885728427297e-05
Q9UNE2	0.0005638400050957032	0.001043079169708981	0.13333333333333333	0.00014189601723215163
P07357	0.0001827026462398574	0.00041723166788359235	0.16666666666666666	0.00020661661268336283
Q96C24,A8K973,Q71SF7	0.0009501861737760604	0.001043079169708981	0.07142857142857142	0.00027785015689075424
Q9UQ26,B3KX91	0.0017865523512697985	0.001251695003650777	0.10606060606060606	0.00032641230806388564
Q9Y2J0	0.0017685569418603529	0.001043079169708981	0.044444444444444446	0.0002803086879193872
B5A923,P17948,B3FR89	0.032478075353271414	0.002399082090330656	0.2761904761904762	0.0006488722816097516
P35968	0.04772820841510025	0.004693856263690414	0.11738648947951273	0.0015006748068397708
P15692	0.005988766370447475	0.002086158339417962	0.0915032679738562	0.0006632252060356544
P16885	0.03503652397152338	0.0033378533430687388	0.19310344827586207	9.950471024930082e-05
P29353	0.12632962892118246	0.012204026285595077	0.10565870910698497	0.006451315069135605
P49763,Q53XY6	0.0011167552025808211	0.0006258475018253885	1.0	0.0
P49765,Q7LAP4	0.0010923273487745738	0.0006258475018253885	0.6666666666666666	1.0839972628443145e-05
P08754,Q5TZX1	0.003588544415667356	0.0031292375091269424	0.007936507936507936	0.0006239528700139954
Q13535	0.01103302526355962	0.0018775425054761655	0.11764705882352941	0.00021242538234146952
B4DN83,P11308	0.0038681378513356615	0.0008344633357671847	0.13333333333333333	1.6082813000311668e-05
P17947	0.016201037034179865	0.0028163137582142483	0.09686609686609686	0.00028991400731379367
Q01543	0.0029620673411753814	0.0008344633357671847	0.0	0.00012015069513158106
Q59GA7,P50549,B7Z618	0.007332620091880418	0.0008344633357671847	0.07142857142857142	6.017466862675711e-05
Q15047	0.017002388382981612	0.008970480859497235	0.008481532147742818	0.004967378598321493
Q15361	0.0026856842035307897	0.0006258475018253885	0.06666666666666667	6.059006719753753e-05
Q07889	0.0506002057411541	0.00490247209763221	0.12828282828282828	0.0013783610441766435
P10301	0.005747533179182239	0.001147387086679879	0.09090909090909091	0.00010615015463705871
P10398	0.01192736495447311	0.002503390007301554	0.03463203463203463	0.0009529769773782288
P16333	0.04552489140877813	0.0066757066861374776	0.06299603174603174	0.0014297536886374318
P21926	0.006613796698256749	0.0019818504224470637	0.08187134502923976	0.0008465954245562504
P29323	0.022433345153240802	0.003546469177010535	0.056451612903225805	0.0012257649367655608
Q8N4Y1,Q12967,Q6KH11	0.007144620312324841	0.0018775425054761655	0.0718954248366013	0.0001922968546363167
Q8WWW0	0.0029561890973907935	0.0015646187545634712	0.038461538461538464	0.00014245197244115346
Q8IVL1,A6NEC1,A7E2D6	0.0006783276048898052	0.0003129237509126943	0.0	2.0396927105061007e-06
Q8IUR2,Q5U651,Q7L251	0.002180441141471986	0.0006258475018253885	0.0	5.082698102263879e-06
P29400	0.0013680240445568188	0.001147387086679879	0.07272727272727272	0.00010347742042293797
P13725	0.0012602261204096728	0.0009387712527380828	0.08333333333333333	2.670368947357665e-05
Q14031,Q9BS57	0.0013147756664035916	0.001043079169708981	0.08888888888888889	6.74335338010927e-05
Q99650	0.0044722030039757305	0.00041723166788359235	0.3333333333333333	8.594607462310347e-06
P06729,Q53F96	0.012083181829545039	0.0017732345885052676	0.13970588235294118	0.0003973152684415629
Q05655	0.08649318586582232	0.0108480233649734	0.0438749757328674	0.009249643212266206
P42263,Q17R51	0.003438721291917226	0.0009387712527380828	0.1388888888888889	0.0001406568484283661
B4DYA6,P60981	0.0014537196214607316	0.0005215395848544905	0.3	5.3770084063579464e-05
P27815	0.002302868912382613	0.00041723166788359235	0.0	2.233793328204544e-06
P42574	0.0683879193020356	0.013768645040158548	0.025402504472271915	0.012481121823232971
P48029,Q59EV7,B4DIA3	0.00017245320542012808	0.00010430791697089809	0.0	0.0
P78527	0.0365705326037692	0.004380932512777719	0.09615384615384616	0.00223787939649367
A4D0Q6,P48736	0.01521690357373726	0.0017732345885052676	0.07352941176470588	0.0007065280609549393
P27361,Q9BWJ1,A8CZ58	0.08691066746254213	0.012204026285595077	0.03142639206712433	0.006204085269862748
Q92918,A8MWC4	0.027710201108036906	0.0021904662563888596	0.2631578947368421	0.00017104471853880536
Q07666	0.055022513303582654	0.004276624595806822	0.12685560053981107	0.0020824482091029804
O15492	0.012008921302694748	0.001251695003650777	0.09090909090909091	0.00040974531248975097
Q5T124	0.0012214993352118032	0.0006258475018253885	0.0	0.00013364589219769788
O76036,B0V3L5,B0V3L0	0.0010311242096620306	0.0003129237509126943	0.0	2.3553431237719693e-06
Q12972,Q6ICT4,Q5TEJ4	0.009805462079976705	0.0017732345885052676	0.051470588235294115	0.0005438990003519177
B3KWE2,P56945,B4DIW5	0.051094023375434464	0.005111087931574007	0.1096938775510204	0.0021172823774468553
Q13432	0.02462186334282888	0.008344633357671848	0.003481012658227848	0.005516167726331298
Q6PIZ9	0.016689544868029992	0.0009387712527380828	0.3333333333333333	5.60493612909854e-06
Q86WV1	0.017004155563106124	0.0007301554187962866	0.38095238095238093	3.0329006195555537e-06
O75563,A4D173	0.008120997521279455	0.0008344633357671847	0.13333333333333333	4.091728678127188e-05
O14931,Q05D23	0.000892843622511401	0.00020861583394179617	0.0	8.446778296818616e-07
Q9UQC2,A7MD36	0.04229086367559748	0.002503390007301554	0.3079710144927536	0.00016701444647342366
Q96QH2	0.0035889972393287842	0.0005215395848544905	0.2	1.960875031308675e-05
Q8WWW8	0.019464691206068672	0.0008344633357671847	0.32142857142857145	4.0934070848755686e-05
O75807	0.006612329433873455	0.001356002920621675	0.02564102564102564	0.0006269384774959608
P31994	0.011598787321084405	0.001147387086679879	0.07272727272727272	0.0002676434936202507
Q9ULV8	0.01564049207919532	0.0007301554187962866	0.3333333333333333	8.790678802839998e-06
Q8NDB2	0.0024211049198400725	0.0003129237509126943	0.3333333333333333	4.711098396348105e-06
Q9UI08	0.017317164275737856	0.0018775425054761655	0.12418300653594772	0.00025115732098880553
P62993,B0LPF3	0.14819615940961692	0.020340043809325126	0.04641623488773748	0.01594140525700723
P21854,Q5TLG3	0.007307923137938351	0.0005215395848544905	0.4	1.8465592790412464e-05
Q14511,Q5XKI0,A8K9G7	0.03483542783047377	0.0032335454260978406	0.14285714285714285	0.001010418149017568
Q7LFX5	0.0032479237147792833	0.0003129237509126943	0.0	0.0006469927124194849
Q7L591	0.01323176925366989	0.0007301554187962866	0.19047619047619047	4.008398982381537e-06
P05412	0.08634830244751265	0.012204026285595077	0.0601067887109077	0.006515975934093838
P28069	0.008909410728844144	0.0008344633357671847	0.25	2.3760510463913567e-05
O75444	0.011613504170501067	0.001251695003650777	0.3333333333333333	3.105090363650005e-05
P06400	0.07729537023259206	0.01418587670804214	0.03265626753450791	0.010922185522754398
Q13285	0.019385424708092326	0.002503390007301554	0.08695652173913043	0.0006024192833394929
P06127	0.024882906430026178	0.0021904662563888596	0.1761904761904762	0.0005045918832147168
P23511	0.01636091968253363	0.002294774173359758	0.13157894736842105	0.00034758455866019093
P13984	0.011959099773077934	0.002399082090330656	0.14285714285714285	0.000267887881244056
O15513,P09493,Q9Y427	0.0037796796434988802	0.001043079169708981	0.06666666666666667	0.0002125492454922731
P51610	0.00836597792550631	0.002503390007301554	0.030303030303030304	0.000682948111313303
P21675	0.018189999210591265	0.0038593929279232293	0.1495798319327731	0.0010659597046697156
P10275,Q9NUA2	0.11609660767620437	0.01585480337957651	0.043221476510067115	0.016390062186917177
Q92793,Q4LE28	0.11975492270433882	0.02086158339417962	0.031841255191509	0.018503957107178306
Q13950	0.028377396883539522	0.0029206216751851465	0.11904761904761904	0.0005401925813587008
Q14765	0.010384156184367867	0.001251695003650777	0.15555555555555556	0.0002319518668880001
P17096,Q5T6U8	0.018791385998713158	0.0021904662563888596	0.12380952380952381	0.0007190096620759579
Q13485	0.07779511069741098	0.016063419213518306	0.03346113628441966	0.01678846212193255
Q13526	0.03343971850078191	0.005736935433399395	0.04242424242424243	0.006020686180297855
Q13765,B2R4P8	0.00485920904534483	0.001043079169708981	0.022222222222222223	0.00011223034859440276
Q15796,Q53XR6	0.09068977438393376	0.01731511421716908	0.029328146042196617	0.019044119907209483
Q92854	0.001212541970139232	0.0005215395848544905	0.0	2.8656277227064984e-06
Q13569,B4E127	0.02193425036183075	0.0021904662563888596	0.1871345029239766	0.00024292803257377173
Q6FG46,Q9H5M2,B3KP27	0.00315363031786025	0.0003129237509126943	0.0	2.3966826980573373e-07
Q96GM5	0.00982131186003057	0.001147387086679879	0.10909090909090909	0.0004403553649862779
P11473	0.027121121599139625	0.003650777093981433	0.0928030303030303	0.0010003259929337394
A8MUS8,P63165	0.038558598251357705	0.0061541671012829875	0.06779661016949153	0.0018809596437587657
Q9Y6Q9	0.04476045553944987	0.005111087931574007	0.10823311748381129	0.001287199059683603
P48552,A8K171	0.030646335946200323	0.004172316678835924	0.09102564102564102	0.0014135845754362083
Q15583,A6NE42,A6NLU7	0.019120799288338628	0.0016689266715343694	0.14166666666666666	0.00040479425244427104
Q15788	0.05270146857427565	0.006362782935224783	0.11221507890122735	0.0010237566659979612
Q09472,Q7Z6C1	0.12418431539015282	0.022008970480859497	0.030088332719911667	0.018936975250359644
P45984,B5M0B4	0.022873212628156534	0.004068008761865026	0.04183535762483131	0.0016698035949736499
Q99576,Q5JRI9,Q5JRJ2	0.009130869626489698	0.001043079169708981	0.25	0.0001647741552910674
Q9UGU0	0.006292606220577415	0.0005215395848544905	0.6666666666666666	1.1929139195246228e-06
B7Z4Z5,Q9P0T0,P84022	0.10447088476824103	0.019088348805674348	0.0330877839165132	0.020594649771634842
Q08211,Q58F26	0.014180896394885815	0.0030249295921560447	0.07122507122507123	0.0010982805540353808
P18847,Q6ICQ9,Q8WYM6	0.011708860202088086	0.001356002920621675	0.09090909090909091	0.000296464554817676
Q16665,D0VY79	0.03744199914429085	0.004589548346719516	0.09513742071881606	0.0033236022529178834
Q15650	0.024560947484309092	0.0017732345885052676	0.3904761904761905	0.0002868637354617294
Q9BQG0	0.006990118609066162	0.0007301554187962866	0.09523809523809523	1.850869062959501e-05
P01011	0.0030328847849846858	0.0021904662563888596	0.017543859649122806	0.001004919029956612
Q15139	0.027649421083547725	0.0026076979242724524	0.1067193675889328	0.0006345817813212363
Q9NR30	0.003323043454629195	0.00020861583394179617	1.0	0.0
Q01892	0.017004606367657556	0.001356002920621675	0.34545454545454546	4.430434555371043e-05
Q6VY07	0.005297923516156208	0.001043079169708981	0.06666666666666667	0.0004653640449249346
P18848,Q96AQ3	0.005739161749999524	0.0018775425054761655	0.058823529411764705	0.00038705402851404736
Q03014,B1AQ17	0.0052348152339188655	0.001043079169708981	0.08888888888888889	9.846703533953247e-05
Q92905	0.02447775114396926	0.003650777093981433	0.1092436974789916	0.0010752617836818326
Q9Y5Q3	0.002230320137355713	0.0003129237509126943	0.0	0.0
Q8NHY2,Q504W6,Q05CT6	0.0064911590598949525	0.0007301554187962866	0.0	0.00032883830236811446
Q05925	0.002385324695875305	0.00020861583394179617	0.0	1.6473998736698391e-06
Q99426	0.0009454930875515829	0.0003129237509126943	0.0	2.9828193952460134e-05
Q93009,Q6U8A4	0.012892398713681625	0.004380932512777719	0.02435897435897436	0.002604084065384572
P08311	0.0034905196933329805	0.002503390007301554	0.028985507246376812	0.0009060422303047856
O15379	0.03932799416593368	0.0066757066861374776	0.07191961924907457	0.002041693320825287
