Pathogen	Pathogen_Uniprot_ID	Human_Uniprot_ID
Yersinia pestis	Q8ZAC2	Q14839
Yersinia pestis	A0A0H2W5B5	Q99459
Yersinia pestis	A0A0H2W6Y4	Q9UK61
Yersinia pestis	Q8D166	Q6PKC3
Yersinia pestis	Q8D1B7	Q10587
Yersinia pestis	Q8D1B3	Q3YBR2
Yersinia pestis	Q8D1A1	Q4VX76
Yersinia pestis	A0A384KL81	Q9UNH7
Yersinia pestis	Q8CLS0	Q9BYB0
Yersinia pestis	A0A384KV61	Q9BYB0
Yersinia pestis	Q7CIG9	O43765
Yersinia pestis	Q8D1R9	Q16181
Yersinia pestis	A0A384KH41	O00560
Yersinia pestis	A0A384KJ61	O00560
Yersinia pestis	Q8CZW3	Q6ZNA4
Yersinia pestis	A0A384KBL5	Q9H0Z9
Yersinia pestis	Q8ZEG9	P49585
Yersinia pestis	Q0WHE4	Q9UHY1
Yersinia pestis	A0A384L604	P19838
Yersinia pestis	Q7CHE1	O14686
Yersinia pestis	A0A384KBR7	P31153
Yersinia pestis	Q9ZFR9	Q9P267
Yersinia pestis	A0A384KWW8	Q9P267
Yersinia pestis	Q0WI45	Q96QZ7
Yersinia pestis	Q8ZAE1	O60664
Yersinia pestis	A0A0H2W5B5	O95382
Yersinia pestis	Q8ZJC4	Q9Y2U9
Yersinia pestis	Q8ZFX8	O15033
Yersinia pestis	A0A384KPW0	Q9UBN7
Yersinia pestis	Q8D0N2	O14908
Yersinia pestis	Q7ARF1	P06396
Yersinia pestis	Q8CZR5	Q96RU3
Yersinia pestis	A0A384L498	P15036
Yersinia pestis	P58680	O00748
Yersinia pestis	Q0WA24	P0C0L4
Yersinia pestis	A0A384LAN6	Q9H9A5
Yersinia pestis	Q9F286	P46379
Yersinia pestis	Q9ZC50	Q99941
Yersinia pestis	Q8ZCW1	Q68CP9
Yersinia pestis	Q8ZAA2	Q15942
Yersinia pestis	A0A384KQ38	P15822
Yersinia pestis	Q8ZCW1	P15822
Yersinia pestis	Q7CJ72	Q6PKC3
Yersinia pestis	Q8CKX2	Q12931
Yersinia pestis	A0A384L0P2	O95271
Yersinia pestis	Q8Z9R8	Q8N4L2
Yersinia pestis	Q8D090	Q9GZM7
Yersinia pestis	A0A0H2W7L9	Q9UGI8
Yersinia pestis	A0A384LA47	Q10587
Yersinia pestis	Q7CHU1	Q10587
Yersinia pestis	Q8ZEX9	Q9H2D6
Yersinia pestis	Q8D008	Q03518
Yersinia pestis	Q8ZHE6	O95793
Yersinia pestis	Q8CWI4	Q9NY15
Yersinia pestis	Q0WBC6	Q9NY15
Yersinia pestis	Q0WFU6	O94864
Yersinia pestis	Q8D0W1	Q9Y5X1
Yersinia pestis	A0A384KVS6	Q96B97
Yersinia pestis	A0A0H2W3Z6	P55735
Yersinia pestis	A0A384LBC5	P49792
Yersinia pestis	Q8ZIG9	Q9H3U2
Yersinia pestis	Q8ZIH1	P17031
Yersinia pestis	Q8CK80	Q68DK7
Yersinia pestis	A0A384LLI5	Q5TAX3
Yersinia pestis	Q8ZH96	Q7Z3K3
Yersinia pestis	A0A0H2W5A2	Q9BX97
Yersinia pestis	A0A384KZU6	P13796
Yersinia pestis	Q8ZFM0	O75420
Yersinia pestis	Q8D1K0	P19838
Yersinia pestis	Q8D1N2	P19838
Yersinia pestis	A0A384L0Y4	P19838
Yersinia pestis	Q8ZCV9	P19838
Yersinia pestis	Q0WBX6	O75592
Yersinia pestis	Q8Z9U9	P31153
Yersinia pestis	Q0WBC6	P59901
Yersinia pestis	Q8CZZ5	Q96RT1
Yersinia pestis	A0A384KAD8	Q8N9T8
Yersinia pestis	A0A384L7I3	P14618
Yersinia pestis	A0A384KWW8	Q68DE3
Yersinia pestis	A0A384LFS3	P31785
Yersinia pestis	Q8CZX4	Q9UKT9
Yersinia pestis	Q7CH25	P01857
Yersinia pestis	Q8ZGA1	Q8IY31
Yersinia pestis	Q8D020	P54105
Yersinia pestis	A0A384KH41	O43464
Yersinia pestis	Q8CL08	P13747
Yersinia pestis	Q8CZU9	Q86XS8
Yersinia pestis	Q0WAF2	O14908
Yersinia pestis	A0A384KX68	P01100
Yersinia pestis	Q8ZIM0	Q5RKV6
Yersinia pestis	Q8ZGY5	Q15370
Yersinia pestis	Q8CZP1	P26641
Yersinia pestis	A0A384KVM3	P33316
Yersinia pestis	A0A384KC66	Q9NP97
Yersinia pestis	A0A384LD89	Q15038
Yersinia pestis	Q8CZR8	P35222
Yersinia pestis	Q8ZCR1	O75629
Yersinia pestis	Q8ZJ16	P17927
Yersinia pestis	Q7CK92	Q96F05
Yersinia pestis	Q8D1P8	Q7L3B6
Yersinia pestis	A0A384KGR0	P02746
Yersinia pestis	A0A0H2W0T4	Q8TD16
Yersinia pestis	A0A384KQ38	P46379
Yersinia pestis	A0A0H2W839	Q9C0C7
Yersinia pestis	Q0WG31	Q15942
Yersinia pestis	Q8CKN3	Q6NX49
Yersinia pestis	A0A384L3H4	Q9ULJ6
Yersinia pestis	Q8ZFB2	Q9ULJ6
Yersinia pestis	Q8ZAR2	P15822
Yersinia pestis	Q8D176	P04275
Yersinia pestis	Q8D008	Q96IX5
Yersinia pestis	Q8ZJP7	Q15853
Yersinia pestis	A0A384LGT3	P55851
Yersinia pestis	A0A0H2W080	P26651
Yersinia pestis	A0A384KYC4	P48995
Yersinia pestis	A0A0H2W5A2	Q9Y2W1
Yersinia pestis	Q7CIG0	O14773
Yersinia pestis	A0A0H2W0T4	Q8NDV7
Yersinia pestis	A0A384KKY7	Q8NDV7
Yersinia pestis	A0A384L4X0	Q8NDV7
Yersinia pestis	Q8D1P6	Q04727
Yersinia pestis	Q8CZM3	Q9GZM7
Yersinia pestis	Q8CZT9	Q9NQB0
Yersinia pestis	Q0WB47	Q9NQB0
Yersinia pestis	Q8ZAN0	Q9NQB0
Yersinia pestis	A0A0H2W0Y3	P17987
Yersinia pestis	Q8D0I9	P42226
Yersinia pestis	Q8CZY7	Q9NY15
Yersinia pestis	Q0WFZ1	Q9NY15
Yersinia pestis	Q0WFD2	Q9UJW9
Yersinia pestis	Q7CGQ2	Q969G3
Yersinia pestis	A0A384KL53	Q9UQE7
Yersinia pestis	A0A384LGT3	O00193
Yersinia pestis	A0A384L096	Q9BYW2
Yersinia pestis	Q8ZEU8	O00560
Yersinia pestis	Q8CZM5	O00560
Yersinia pestis	Q7CGT6	O00560
Yersinia pestis	Q8ZJJ7	Q8TB24
Yersinia pestis	Q0WCK7	P49792
Yersinia pestis	Q8D1Q0	Q9Y5P3
Yersinia pestis	A0A384L034	Q7Z7A1
Yersinia pestis	A0A384KVT4	Q9UQC1
Yersinia pestis	Q8CKI9	Q9NTU6
Yersinia pestis	Q8CLP9	Q75L30
Yersinia pestis	A0A384KVB8	Q6FGK0
Yersinia pestis	P58411	Q8TF39
Yersinia pestis	Q8D1C5	Q9NYI0
Yersinia pestis	A0A384KQR2	Q9NYI0
Yersinia pestis	Q8ZJL7	P30048
Yersinia pestis	A0A384L2A2	O75626
Yersinia pestis	P17778	Q96BP3
Yersinia pestis	Q8D1L5	P53041
Yersinia pestis	A0A0H2W631	Q7Z3K3
Yersinia pestis	Q8ZAR2	Q7Z3K3
Yersinia pestis	A0A0H2W7W5	Q9NRQ2
Yersinia pestis	A0A0H2W8G8	Q86SQ0
Yersinia pestis	A0A384KHC6	O94921
Yersinia pestis	Q8D192	P28328
Yersinia pestis	Q8ZIL6	Q9NR12
Yersinia pestis	Q8ZG09	Q8WUM4
Yersinia pestis	Q8CZZ7	O95273
Yersinia pestis	Q9ZC51	P06748
Yersinia pestis	A0A384LGT3	Q6KC79
Yersinia pestis	P69974	P19838
Yersinia pestis	A0A384LE44	P19838
Yersinia pestis	A0A384KY25	P19838
Yersinia pestis	A0A384LHP6	P19838
Yersinia pestis	A0A0H2W4I9	P19838
Yersinia pestis	Q8ZCW0	P19838
Yersinia pestis	A0A384KIG3	Q5VU43
Yersinia pestis	Q8D0G3	Q15746
Yersinia pestis	Q8ZJJ5	O75592
Yersinia pestis	A0A384L7G7	O15438
Yersinia pestis	Q0WF87	Q99685
Yersinia pestis	A0A384LAC1	P31153
Yersinia pestis	Q8CL08	Q13503
Yersinia pestis	Q7CGP9	Q9P1T7
Yersinia pestis	Q8ZEV7	Q8N2S1
Yersinia pestis	Q0WHY6	O95777
Yersinia pestis	Q8ZDF8	P17931
Yersinia pestis	Q8D0G3	P12956
Yersinia pestis	A0A0H2W3D6	P14618
Yersinia pestis	P58492	P41229
Yersinia pestis	Q8D0V8	P14902
Yersinia pestis	A0A384KR24	O43464
Yersinia pestis	A0A384LGR5	Q16534
Yersinia pestis	Q7CKR1	P09211
Yersinia pestis	A0A384KPQ0	Q8TDU6
Yersinia pestis	Q8CWI4	P34897
Yersinia pestis	Q0WA24	Q9Y2X7
Yersinia pestis	Q8D045	Q9HCC8
Yersinia pestis	A0A0H2WA10	Q9HCC8
Yersinia pestis	Q0WDP0	Q9HCC8
Yersinia pestis	Q8ZJC4	Q9HCC8
Yersinia pestis	Q8CZX0	Q92802
Yersinia pestis	Q8ZCW0	Q9H334
Yersinia pestis	Q9ZC50	Q9Y2H6
Yersinia pestis	Q8D1M6	P35555
Yersinia pestis	A0A0H2W5B4	P50502
Yersinia pestis	Q7CIZ7	P15311
Yersinia pestis	Q8CL55	Q01844
Yersinia pestis	Q8D1A1	P30040
Yersinia pestis	Q8CL29	Q15723
Yersinia pestis	A0A384LH64	O43491
Yersinia pestis	Q8ZC51	P33316
Yersinia pestis	Q8CZU2	Q12882
Yersinia pestis	Q8CKI2	Q9C005
Yersinia pestis	Q7CH97	P31040
Yersinia pestis	A0A384KHX8	Q9BPX1
Yersinia pestis	Q0WA24	P24468
Yersinia pestis	A0A384LC90	P02461
Yersinia pestis	A0A384LQD6	Q9ULV3
Yersinia pestis	Q74RZ6	Q99828
Yersinia pestis	Q8D008	Q9NR00
Yersinia pestis	Q8ZBM5	Q8N8E3
Yersinia pestis	Q8ZIX0	Q9UKZ1
Yersinia pestis	Q8D0L8	P53634
Yersinia pestis	Q8D0R9	P07858
Yersinia pestis	Q0WI64	P43155
Yersinia pestis	A0A384LC01	P46379
Yersinia pestis	Q8ZJP7	P46379
Yersinia pestis	Q8Z9V7	Q9P291
Yersinia pestis	A0A384LJE2	Q96GX9
Yersinia pestis	Q0WDP0	P50995
Yersinia pestis	Q0WEU1	Q6UB99
Yersinia pestis	Q0WGU1	P35611
Yersinia pestis	A0A384LN63	Q8NFM4
Yersinia pestis	A0A0H2W6X3	O00182
Yersinia pestis	Q8CWI4	Q9HAP2
Yersinia pestis	Q8Z9U2	Q9P2E3
Yersinia pestis	A0A384KDI8	Q9NRM2
Yersinia pestis	A0A384KT94	Q15326
Yersinia pestis	Q8CZY0	Q9Y6X8
Yersinia pestis	Q8ZDA6	Q9Y6X8
Yersinia pestis	Q8Z9S7	P15822
Yersinia pestis	A0A384L6J2	Q96EC8
Yersinia pestis	Q9ZFR9	Q8IZH2
Yersinia pestis	Q9ZC68	Q8IZH2
Yersinia pestis	A0A384KAD8	Q9Y484
Yersinia pestis	A0A0H2W631	Q7Z5K2
Yersinia pestis	Q8ZGA1	Q9BTA9
Yersinia pestis	Q8D0R9	P04275
Yersinia pestis	Q7CGP9	P04275
Yersinia pestis	Q8ZCV9	P04275
Yersinia pestis	Q8ZJ16	P04275
Yersinia pestis	Q8D0G3	A5D8V6
Yersinia pestis	Q7CHV3	Q69YN4
Yersinia pestis	Q8D1M8	Q00341
Yersinia pestis	Q8CZU2	Q9P0L0
Yersinia pestis	Q0WFN6	Q9UBK9
Yersinia pestis	Q8CZV1	Q8NBZ7
Yersinia pestis	Q8ZHK5	P46939
Yersinia pestis	Q8D1J9	P46939
Yersinia pestis	A0A0H2W8G8	P46939
Yersinia pestis	Q8ZDJ2	O75643
Yersinia pestis	A0A384KC34	P53007
Yersinia pestis	Q8D0G3	Q6PKC3
Yersinia pestis	A0A0H2W8G8	Q6PKC3
Yersinia pestis	A0A0H2W1U8	Q96JJ7
Yersinia pestis	Q8Z9V7	O14907
Yersinia pestis	A0A384LJE2	P26651
Yersinia pestis	P40127	Q9ULT0
Yersinia pestis	P40127	Q99598
Yersinia pestis	Q8ZEK1	O60637
Yersinia pestis	Q8CZR8	P49815
Yersinia pestis	Q8ZCW0	P07204
Yersinia pestis	Q8ZIM0	Q12931
Yersinia pestis	Q0W9V4	O14836
Yersinia pestis	A0A384LPZ8	O75365
Yersinia pestis	Q8ZH69	O94842
Yersinia pestis	Q8D1R8	Q8NDV7
Yersinia pestis	Q0WF85	Q8NDV7
Yersinia pestis	A0A0H2W8Y1	Q8NDV7
Yersinia pestis	O68759	Q8NDV7
Yersinia pestis	Q0WKF2	Q9UPQ9
Yersinia pestis	A0A384KYC4	Q969X1
Yersinia pestis	Q8ZCK2	Q9NV12
Yersinia pestis	Q8D052	Q9UKI8
Yersinia pestis	A0A384LJ06	Q04724
Yersinia pestis	A0A3N4BBG2	Q9GZM7
Yersinia pestis	A0A0H2W3C2	Q9GZM7
Yersinia pestis	Q8Z9U7	Q9GZM7
Yersinia pestis	Q9X6B0	Q9GZM7
Yersinia pestis	P74989	Q01085
Yersinia pestis	Q8CZY7	P31483
Yersinia pestis	Q0WAX9	Q96RS0
Yersinia pestis	Q8CWI4	O43294
Yersinia pestis	Q0WDK2	O43294
Yersinia pestis	A0A384LJU9	Q9UBB9
Yersinia pestis	Q7CJE7	Q9NQB0
Yersinia pestis	A0A384KQ85	Q9UGI8
Yersinia pestis	Q7CGD9	Q9UGI8
Yersinia pestis	A0A0H2W8Y1	Q9UGI8
Yersinia pestis	Q8ZEL7	Q9UGI8
Yersinia pestis	Q8ZGR6	Q10587
Yersinia pestis	Q9ZC81	Q10587
Yersinia pestis	Q8CWG5	Q10587
Yersinia pestis	A0A384LNE2	Q10587
Yersinia pestis	A0A384K834	Q10587
Yersinia pestis	A0A0H2W2I7	Q10587
Yersinia pestis	P58475	Q10587
Yersinia pestis	Q7CJG3	P56279
Yersinia pestis	A0A384KE99	O43680
Yersinia pestis	Q7ARN5	O43680
Yersinia pestis	A0A0H2W839	Q7Z7G0
Yersinia pestis	Q0W9V4	P30408
Yersinia pestis	A0A0H2W839	Q9P2J5
Yersinia pestis	A0A384LIR6	Q9UNE7
Yersinia pestis	A0A384KRV5	Q9UNE7
Yersinia pestis	A0A384KVM3	Q9UNE7
Yersinia pestis	Q74R28	P42226
Yersinia pestis	A0A384L498	P42226
Yersinia pestis	A0A0H2W6C0	Q9NY15
Yersinia pestis	A0A0H2W6X3	Q9NY15
Yersinia pestis	Q8ZCT9	Q9NY15
Yersinia pestis	A0A3N4AXC4	Q9UJW9
Yersinia pestis	A0A384KTX0	Q9UJW9
Yersinia pestis	Q8ZBH1	Q9UQ35
Yersinia pestis	Q74R28	Q6ZRS2
Yersinia pestis	Q7CHU1	Q12772
Yersinia pestis	A0A384L3F5	Q8N0X7
Yersinia pestis	Q8ZGW7	Q5M775
Yersinia pestis	Q8D169	Q5M775
Yersinia pestis	A0A0H2W5B5	Q9UNH6
Yersinia pestis	A0A384L807	Q5SXM2
Yersinia pestis	A0A384LN40	Q8TAD8
Yersinia pestis	Q8CKD8	P53814
Yersinia pestis	A0A384KXD1	Q92540
Yersinia pestis	Q8CL08	Q969G3
Yersinia pestis	Q56991	Q9NTJ3
Yersinia pestis	Q8CLC4	O94813
Yersinia pestis	Q8CL08	Q9BRV8
Yersinia pestis	Q8D0Q9	Q96RL6
Yersinia pestis	Q7CHD7	Q07955
Yersinia pestis	P68587	Q8WXA9
Yersinia pestis	A0A384LGT3	O75533
Yersinia pestis	Q8CLR7	Q9P0U3
Yersinia pestis	Q8ZGH1	O00560
Yersinia pestis	A0A384KRV5	O00560
Yersinia pestis	O68759	O00560
Yersinia pestis	P46359	O00560
Yersinia pestis	Q8D1J7	P02775
Yersinia pestis	A0A384KQH8	Q15020
Yersinia pestis	Q8CZL9	Q16799
Yersinia pestis	Q7CGI0	Q92766
Yersinia pestis	Q8D101	Q96AT9
Yersinia pestis	Q0WJU7	Q7L0R7
Yersinia pestis	Q0WJY2	Q96EP0
Yersinia pestis	A0A384KV76	Q8TB24
Yersinia pestis	P68590	P49796
Yersinia pestis	A0A384LH60	P27694
Yersinia pestis	A0A0H2W2U3	Q13123
Yersinia pestis	Q8D1P4	Q92804
Yersinia pestis	Q8ZD27	O43251
Yersinia pestis	A0A384LLI5	A0AV96
Yersinia pestis	Q8ZBN6	Q8IUH3
Yersinia pestis	A0A0H2W7L9	Q9H0Z9
Yersinia pestis	P17778	Q9NW64
Yersinia pestis	Q8CZU2	Q86WH2
Yersinia pestis	A0A384KF61	Q9H6Z4
Yersinia pestis	Q8CK76	Q9P0K7
Yersinia pestis	Q8D1R4	P04049
Yersinia pestis	Q8D0H5	Q7Z7A1
Yersinia pestis	A0A384KEK4	Q9UK73
Yersinia pestis	A0A384LHP6	Q9UK73
Yersinia pestis	Q8CWH9	Q9NWB7
Yersinia pestis	Q8ZII0	Q9H7Q5
Yersinia pestis	Q8CWI1	Q9Y520
Yersinia pestis	Q8D034	Q96LM7
Yersinia pestis	Q8CKW7	Q99435
Yersinia pestis	Q8D0N9	Q92827
Yersinia pestis	A0A0H2W839	Q92827
Yersinia pestis	Q8D092	Q92982
Yersinia pestis	A0A384KPY8	Q92982
Yersinia pestis	Q7CGD9	Q4LDE5
Yersinia pestis	Q8CLP9	Q8N836
Yersinia pestis	A0A384LH60	Q3KNW1
Yersinia pestis	Q8D1G8	P52565
Yersinia pestis	Q8ZJ10	P52758
Yersinia pestis	A0A384LGT3	Q64F87
Yersinia pestis	Q8D015	Q8IWT3
Yersinia pestis	A0A384LD89	Q53SQ1
Yersinia pestis	Q8D1P4	O43760
Yersinia pestis	Q7CJE7	Q9NYI0
Yersinia pestis	A0A384LN40	Q9NYI0
Yersinia pestis	A0A384L4Q0	P28066
Yersinia pestis	A0A384KEU1	P25786
Yersinia pestis	Q8D1C8	P30041
Yersinia pestis	Q8CZK5	P30048
Yersinia pestis	Q8CLT3	P30048
Yersinia pestis	Q8ZAN0	P30048
Yersinia pestis	A0A384KB95	Q8TF05
Yersinia pestis	A0A384L3E0	P62140
Yersinia pestis	Q9X6B6	Q7Z3K3
Yersinia pestis	Q8D0C8	Q7Z3K3
Yersinia pestis	A0A384KQ85	Q7Z3K3
Yersinia pestis	A0A384KX68	Q7Z3K3
Yersinia pestis	A0A384KV76	Q7Z3K3
Yersinia pestis	Q7CGI0	Q7Z3K3
Yersinia pestis	A0A0H2W2H9	Q01453
Yersinia pestis	A0A384KIG3	Q9BX97
Yersinia pestis	Q8D1M8	O15162
Yersinia pestis	Q8D162	O15162
Yersinia pestis	Q8CZX8	O15162
Yersinia pestis	A0A0H2W9Q1	O94827
Yersinia pestis	A0A0H2W8G8	Q9ULL1
Yersinia pestis	A0A384KD64	Q9BZ71
Yersinia pestis	Q8ZDX8	Q9BXM7
Yersinia pestis	Q8CLE5	Q13492
Yersinia pestis	Q8ZFM0	Q6Y7W6
Yersinia pestis	Q8CL08	P12955
Yersinia pestis	A0A384L7N0	P12955
Yersinia pestis	A0A384KVM3	P16284
Yersinia pestis	Q8CKB6	O94913
Yersinia pestis	Q8D0N7	P49023
Yersinia pestis	Q8D068	P11940
Yersinia pestis	Q8ZJL7	P04637
Yersinia pestis	Q8ZG01	Q96G74
Yersinia pestis	A0A384LDU9	Q9BZF1
Yersinia pestis	A0A384LJK5	Q02218
Yersinia pestis	Q8ZJB3	P37198
Yersinia pestis	A0A2S9PJQ7	P35658
Yersinia pestis	Q9ZC54	P49790
Yersinia pestis	Q8D1K1	Q96KG9
Yersinia pestis	A0A384KUI4	P06748
Yersinia pestis	A0A384LCY5	Q49A26
Yersinia pestis	P69976	P22307
Yersinia pestis	A0A384KVM3	P30414
Yersinia pestis	Q8D0Q9	P14543
Yersinia pestis	P58700	Q15599
Yersinia pestis	Q8CZH6	Q15599
Yersinia pestis	Q8ZB41	P19838
Yersinia pestis	Q8ZEU8	P19838
Yersinia pestis	Q8ZEW6	P19838
Yersinia pestis	Q8ZD27	P19838
Yersinia pestis	Q8ZCT6	P19838
Yersinia pestis	Q8D1H3	P19838
Yersinia pestis	Q8ZII0	P19838
Yersinia pestis	Q8D1P5	P19838
Yersinia pestis	Q0WJY2	P19838
Yersinia pestis	Q8D1E6	P19838
Yersinia pestis	Q8D169	P19838
Yersinia pestis	Q8CZX4	P19838
Yersinia pestis	Q8CZL0	P19838
Yersinia pestis	Q8CKD8	P19838
Yersinia pestis	A0A0H2W0U8	P19838
Yersinia pestis	A0A384LA02	P19838
Yersinia pestis	A0A384LC90	P19838
Yersinia pestis	Q7CGB6	P19838
Yersinia pestis	P31527	P19838
Yersinia pestis	Q8ZDG9	P19838
Yersinia pestis	Q8ZGY5	P19838
Yersinia pestis	Q7CHU1	O94916
Yersinia pestis	O68709	Q14686
Yersinia pestis	Q8CL86	Q9Y6Q9
Yersinia pestis	A0A384KYC4	Q9Y6Q9
Yersinia pestis	A0A384KF61	P13591
Yersinia pestis	Q8CL08	O95544
Yersinia pestis	A0A384L1C8	Q5VU43
Yersinia pestis	Q0WDR2	O75592
Yersinia pestis	A0A384LIR6	O75592
Yersinia pestis	A0A384LH97	O75592
Yersinia pestis	A0A384KR77	O75592
Yersinia pestis	Q7CGS4	P13640
Yersinia pestis	Q7CGI0	Q96T58
Yersinia pestis	Q8D1F9	Q7Z7M0
Yersinia pestis	A0A0H2W5N0	O60244
Yersinia pestis	A0A384KI85	O60244
Yersinia pestis	Q0WA24	Q93074
Yersinia pestis	Q8CKW7	Q9P1T7
Yersinia pestis	A0A384KUI4	O60318
Yersinia pestis	Q8ZEC9	Q8NI22
Yersinia pestis	Q8ZGH1	Q15555
Yersinia pestis	Q8D0T1	Q8N2S1
Yersinia pestis	Q74YC7	Q8N2S1
Yersinia pestis	P58582	Q9Y608
Yersinia pestis	Q8ZIY9	Q03252
Yersinia pestis	Q7CJ76	Q96PV6
Yersinia pestis	Q7CJF3	Q96PV6
Yersinia pestis	A0A384LFS9	P17931
Yersinia pestis	A0A384L7I3	O95751
Yersinia pestis	Q8ZAL3	P00338
Yersinia pestis	Q8ZH50	P14618
Yersinia pestis	Q7CJE7	P14618
Yersinia pestis	A0A384LFS9	P14618
Yersinia pestis	A0A384LN38	P14618
Yersinia pestis	Q8ZBQ3	P14618
Yersinia pestis	Q8ZA76	P14618
Yersinia pestis	Q8ZA77	P14618
Yersinia pestis	Q9ZC68	P14618
Yersinia pestis	A0A3N4B4I5	Q93100
Yersinia pestis	Q8ZED8	Q9UEF7
Yersinia pestis	A0A384KLJ4	Q96PQ7
Yersinia pestis	Q7CKY2	Q9Y2U9
Yersinia pestis	Q8ZH69	Q14145
Yersinia pestis	Q8D092	P78368
Yersinia pestis	Q7CK92	Q96JJ6
Yersinia pestis	Q8ZD12	O15054
Yersinia pestis	Q8ZEV7	P78504
Yersinia pestis	A0A384L498	Q9NZM3
Yersinia pestis	A0A0H2W7J2	P16144
Yersinia pestis	A0A384KR65	P21399
Yersinia pestis	Q8ZAF1	P46940
Yersinia pestis	A0A384LKL7	P46940
Yersinia pestis	A0A384KTM2	Q27J81
Yersinia pestis	A0A384KV76	Q13418
Yersinia pestis	A0A0H2W148	P16871
Yersinia pestis	Q8D0R9	Q9UKT9
Yersinia pestis	A0A0H2W6Y4	O15111
Yersinia pestis	P17778	P01857
Yersinia pestis	Q7CGR6	P01857
Yersinia pestis	Q8ZCW0	P40305
Yersinia pestis	Q8ZFU4	P60842
Yersinia pestis	P17778	P41091
Yersinia pestis	Q8CZZ5	O43464
Yersinia pestis	A0A384LBM9	O43464
Yersinia pestis	P58644	O43464
Yersinia pestis	P69961	O95081
Yersinia pestis	A0A384K9D9	P37235
Yersinia pestis	A0A384KXR9	P30519
Yersinia pestis	A0A384KXD1	P09601
Yersinia pestis	Q0WHT4	Q01581
Yersinia pestis	Q56956	Q16534
Yersinia pestis	Q8CZL7	Q16534
Yersinia pestis	A0A384KD64	P13747
Yersinia pestis	Q8ZJP8	Q9H422
Yersinia pestis	P58543	Q9H422
Yersinia pestis	Q8D065	O14964
Yersinia pestis	Q8CZJ9	O14964
Yersinia pestis	Q8ZGA1	O14964
Yersinia pestis	Q8CZU2	P04233
Yersinia pestis	A0A384LJ06	P04233
Yersinia pestis	Q8ZFR1	P42694
Yersinia pestis	Q0WEL8	P51610
Yersinia pestis	Q8CKD1	P00390
Yersinia pestis	Q8ZH69	Q13588
Yersinia pestis	Q8D0C5	Q9UKJ3
Yersinia pestis	Q8ZJ16	Q8TDU6
Yersinia pestis	Q9X6B7	Q9HD26
Yersinia pestis	Q8D0K9	Q9HD26
Yersinia pestis	A0A384KNN0	P08754
Yersinia pestis	Q8D169	P14314
Yersinia pestis	A0A384LN63	O14908
Yersinia pestis	Q8ZD12	Q9HCC8
Yersinia pestis	P37858	Q9HCC8
Yersinia pestis	Q8D0N9	Q9HCC8
Yersinia pestis	A0A384KWQ4	Q9HCC8
