Entry	Gene names	Protein names	Length
Q9UGM3	DMBT1 GP340	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)	2413
Q9UQB8	BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	552
P16284	PECAM1	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	738
P07948	LYN JTK8	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	512
P01619	IGKV3-20	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)	116
A0A0C4DH73	IGKV1-12	Immunoglobulin kappa variable 1-12	117
P01375	TNF TNFA TNFSF2	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	233
P01703	IGLV1-40	Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM)	118
P06396	GSN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	782
P07947	YES1 YES	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	543
P00749	PLAU	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	431
P01614	IGKV2D-40	Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum)	121
P36980	CFHR2 CFHL2 FHR2 HFL3	Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)	270
P01706	IGLV2-11	Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN)	119
O95477	ABCA1 ABC1 CERP	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	2261
P0CF74	IGLC6	Immunoglobulin lambda constant 6 (Ig lambda-6 chain C region)	106
O60603	TLR2 TIL4	Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)	784
O43581	SYT7 PCANAP7	Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII)	403
Q9UBW5	BIN2 BRAP1	Bridging integrator 2 (Breast cancer-associated protein 1)	565
P26718	KLRK1 D12S2489E NKG2D	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	216
P02747	C1QC C1QG	Complement C1q subcomponent subunit C	245
Q92496	CFHR4 CFHL4 FHR4	Complement factor H-related protein 4 (FHR-4)	578
P0C0L4	C4A CO4 CPAMD2	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]	1744
Q96F07	CYFIP2 KIAA1168 PIR121	Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121)	1278
P62807	HIST1H2BC H2BFL; HIST1H2BE H2BFH; HIST1H2BF H2BFG; HIST1H2BG H2BFA; HIST1H2BI H2BFK	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	126
O60814	HIST1H2BK H2BFT HIRIP1	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	126
Q9BZG1	RAB34 RAB39 RAH	Ras-related protein Rab-34 (Ras-related protein Rab-39) (Ras-related protein Rah)	259
P01699	IGLV1-44	Immunoglobulin lambda variable 1-44 (Ig lambda chain V-I region MEM) (Ig lambda chain V-I region VOR)	117
Q9BXN2	CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082	C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369)	247
Q14393	GAS6 AXLLG	Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand)	678
Q92747	ARPC1A SOP2L	Actin-related protein 2/3 complex subunit 1A (SOP2-like protein)	370
P51812	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	740
Q9Y4K3	TRAF6 RNF85	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)	522
P62979	RPS27A UBA80 UBCEP1	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	156
P35232	PHB	Prohibitin	272
P23297	S100A1 S100A	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	94
Q96KX0	LYZL4 LYC4	Lysozyme-like protein 4 (Lysozyme-4)	146
P01766	IGHV3-13	Immunoglobulin heavy variable 3-13 (Ig heavy chain V-III region BRO)	116
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	214
Q70J99	UNC13D	Protein unc-13 homolog D (Munc13-4)	1090
P07711	CTSL CTSL1	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]	333
P02745	C1QA	Complement C1q subcomponent subunit A	245
Q5VY43	PEAR1 MEGF12	Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)	1037
O75636	FCN3 FCNH HAKA1	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen)	299
Q9H1E1	RNASE7 UNQ2516/PRO6006	Ribonuclease 7 (RNase 7) (EC 3.1.27.-) (Skin-derived antimicrobial protein 2) (SAP-2)	156
P01814	IGHV2-70	Immunoglobulin heavy variable 2-70 (Ig heavy chain V-II region COR) (Ig heavy chain V-II region DAW) (Ig heavy chain V-II region OU) (Ig heavy chain V-II region SESS)	119
P05106	ITGB3 GP3A	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	788
O60733	PLA2G6 PLPLA9	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)	806
P01772	IGHV3-33	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)	117
P61077	UBE2D3 UBC5C UBCH5C	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	147
P11215	ITGAM CD11B CR3A	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	1152
P59665	DEFA1 DEF1 DEFA2 MRS; DEFA1B	Neutrophil defensin 1 (Defensin, alpha 1) (HNP-1) (HP-1) (HP1) [Cleaved into: HP 1-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	94
P00751	CFB BF BFD	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	764
P01700	IGLV1-47	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)	117
O15455	TLR3	Toll-like receptor 3 (CD antigen CD283)	904
P61626	LYZ LZM	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	148
P01743	IGHV1-46	Immunoglobulin heavy variable 1-46 (Ig heavy chain V-I region DOT) (Ig heavy chain V-I region HG3) (Ig heavy chain V-I region Mot)	117
Q5KU26	COLEC12 CLP1 NSR2 SCARA4 SRCL	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	742
P08246	ELANE ELA2	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	267
Q8NBS9	TXNDC5 TLP46 UNQ364/PRO700	Thioredoxin domain-containing protein 5 (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Thioredoxin-like protein p46)	432
P01892	HLA-A HLAA	HLA class I histocompatibility antigen, A-2 alpha chain (Human leukocyte antigen A*02) (HLA-A*02)	365
O00602	FCN1 FCNM	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	326
P30273	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	86
Q96IY4	CPB2	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	423
P62987	UBA52 UBCEP2	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	128
P06681	C2	Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]	752
P07357	C8A	Complement component C8 alpha chain (Complement component 8 subunit alpha)	584
P46108	CRK	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	304
P00519	ABL1 ABL JTK7	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	1130
P12931	SRC SRC1	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	536
P50995	ANXA11 ANX11	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	505
P01871	IGHM	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)	453
P25774	CTSS	Cathepsin S (EC 3.4.22.27)	331
E5RHG4	PLAT	Tissue-type plasminogen activator (Fragment)	157
Q01524	DEFA6 DEF6	Defensin-6 (Defensin, alpha 6)	100
P0DOY2	IGLC2	Immunoglobulin lambda constant 2 (Ig lambda chain C region Kern) (Ig lambda chain C region NIG-64) (Ig lambda chain C region SH) (Ig lambda chain C region X) (Ig lambda-2 chain C region)	106
P01825	IGHV4-59	Immunoglobulin heavy variable 4-59 (Ig heavy chain V-II region NEWM)	116
P07358	C8B	Complement component C8 beta chain (Complement component 8 subunit beta)	591
P03950	ANG RNASE5	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	147
P20339	RAB5A RAB5	Ras-related protein Rab-5A	215
P51149	RAB7A RAB7	Ras-related protein Rab-7a	207
Q9UEW3	MARCO SCARA2	Macrophage receptor MARCO (Macrophage receptor with collagenous structure) (Scavenger receptor class A member 2)	520
P08311	CTSG	Cathepsin G (CG) (EC 3.4.21.20)	255
P0CG47	UBB	Polyubiquitin-B [Cleaved into: Ubiquitin]	229
Q9HCY8	S100A14 S100A15	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	104
E5RGA1	PLAT	Tissue-type plasminogen activator (Fragment)	178
P01782	IGHV3-9	Immunoglobulin heavy variable 3-9 (Ig heavy chain V-III region DOB)	118
P48740	MASP1 CRARF CRARF1 PRSS5	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	699
P01768	IGHV3-30	Immunoglobulin heavy variable 3-30 (Ig heavy chain V-III region BUR) (Ig heavy chain V-III region CAM) (Ig heavy chain V-III region GA) (Ig heavy chain V-III region NIE)	117
P07225	PROS1 PROS	Vitamin K-dependent protein S	676
Q99572	P2RX7	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	595
P08887	IL6R	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	468
E9PGN7	SERPING1	Plasma protease C1 inhibitor	543
P78539	SRPX ETX1	Sushi repeat-containing protein SRPX	464
P08603	CFH HF HF1 HF2	Complement factor H (H factor 1)	1231
Q96PD5	PGLYRP2 PGLYRPL PGRPL UNQ3103/PRO10102	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L)	576
P01611	IGKV1D-12	Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	117
O00159	MYO1C	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	1063
P05067	APP A4 AD1	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	770
P01599	IGKV1-17	Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA)	117
P12838	DEFA4 DEF4	Neutrophil defensin 4 (Defensin, alpha 4) (HNP-4) (HP-4)	97
P06312	IGKV4-1	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	121
P02679	FGG PRO2061	Fibrinogen gamma chain	453
Q96LB9	PGLYRP3 PGRPIA	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	341
P05107	ITGB2 CD18 MFI7	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	769
P26022	PTX3 TNFAIP5 TSG14	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	381
A1L4H1	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	1573
Q2VPA4	CR1L	Complement component receptor 1-like protein (Complement C4b-binding protein CR-1-like protein)	569
P48357	LEPR DB OBR	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	1165
P00709	LALBA LYZL7	Alpha-lactalbumin (Lactose synthase B protein) (Lysozyme-like protein 7)	142
Q6UWQ5	LYZL1 LYC2 UNQ648/PRO1278	Lysozyme-like protein 1 (EC 3.2.1.17)	148
Q96KG7	MEGF10 KIAA1780	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)	1140
P09871	C1S	Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain]	688
P60033	CD81 TAPA1 TSPAN28	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	236
P10643	C7	Complement component C7	843
P30542	ADORA1	Adenosine receptor A1	326
P04430	IGKV1-16	Immunoglobulin kappa variable 1-16 (Ig kappa chain V-I region BAN)	117
P08174	CD55 CR DAF	Complement decay-accelerating factor (CD antigen CD55)	381
P15169	CPN1 ACBP	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	458
P01031	C5 CPAMD4	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	1676
Q9BXR5	TLR10 UNQ315/PRO358	Toll-like receptor 10 (CD antigen CD290)	811
P01721	IGLV6-57	Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT)	117
O15144	ARPC2 ARC34 PRO2446	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	300
P12318	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	317
P21980	TGM2	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase-2) (TGase-2)	687
P02749	APOH B2G1	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	345
P13747	HLA-E HLA-6.2 HLAE	HLA class I histocompatibility antigen, alpha chain E (MHC class I antigen E) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain E (sHLA-E)]	358
Q93091	RNASE6 RNS6	Ribonuclease K6 (RNase K6) (EC 3.1.27.-)	150
Q92956	TNFRSF14 HVEA HVEM UNQ329/PRO509	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	283
P13671	C6	Complement component C6	934
P80748	IGLV3-21	Immunoglobulin lambda variable 3-21 (Ig lambda chain V-III region LOI) (Ig lambda chain V-V region DEL) (Ig lambda chain V-VII region MOT)	117
P01817	IGHV2-5	Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE)	119
P60953	CDC42	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	191
Q9H756	LRRC19	Leucine-rich repeat-containing protein 19	370
Q9NWZ3	IRAK4	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	460
P06315	IGKV5-2	Immunoglobulin kappa variable 5-2 (Ig kappa chain V region EV15)	115
Q15485	FCN2 FCNL	Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)	313
P03952	KLKB1 KLK3	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	638
P01615	IGKV2D-28	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	120
P04003	C4BPA C4BP	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	597
P01718	IGLV3-27	Immunoglobulin lambda variable 3-27 (Ig lambda chain V-IV region Kern)	113
P55160	NCKAP1L HEM1	Nck-associated protein 1-like (Hematopoietic protein 1) (Membrane-associated protein HEM-1)	1127
P01594	IGKV1-33	Immunoglobulin kappa variable 1-33 (Ig kappa chain V-I region AU) (Ig kappa chain V-I region Ka)	117
P17927	CR1 C3BR	Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)	2039
A0A075B6S6	IGKV2D-30	Immunoglobulin kappa variable 2D-30	120
P04004	VTN	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	478
Q9NYK1	TLR7 UNQ248/PRO285	Toll-like receptor 7	1049
P00558	PGK1 PGKA MIG10 OK/SW-cl.110	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	417
P12724	RNASE3 ECP RNS3	Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)	160
Q9Y2C9	TLR6	Toll-like receptor 6 (CD antigen CD286)	796
Q12866	MERTK MER	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	999
P06702	S100A9 CAGB CFAG MRP14	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	114
P01767	IGHV3-53	Immunoglobulin heavy variable 3-53 (Ig heavy chain V-III region BUT)	116
Q96LB8	PGLYRP4 PGRPIB SBBI67	Peptidoglycan recognition protein 4 (Peptidoglycan recognition protein I-beta) (PGLYRPIbeta) (PGRP-I-beta) (Peptidoglycan recognition protein intermediate beta)	373
Q8IWL2	SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	248
P31146	CORO1A CORO1	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	461
P49279	SLC11A1 LSH NRAMP NRAMP1	Natural resistance-associated macrophage protein 1 (NRAMP 1) (Solute carrier family 11 member 1)	550
